model,feature_subset,hyperparameters,hyperparameter_search_type,cv_total_time,cv_iters,cv_time_per_iter,training_time,avg_training_score
linear_regression,manual,{'preprocessing__cat__oh__min_frequency': None},grid,1.6383299827575684,7,0.2340471403939383,0.0238795280456542,83.8568112648107
linear_regression,filter,{'preprocessing__cat__oh__min_frequency': None},grid,0.3313274383544922,7,0.0473324911934988,0.0416181087493896,83.75820570897277
linear_regression,wrapper,{'preprocessing__cat__oh__min_frequency': None},grid,0.3210222721099853,7,0.0458603245871407,0.0307879447937011,83.57752118121913
linear_regression,no_selection,{'preprocessing__cat__oh__min_frequency': 0.05},grid,1.8199312686920168,7,0.2599901812417166,0.3231534957885742,93.32674499694888
ridge_l2,manual,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 10}",grid,1.5099420547485352,91,0.0165927698324014,0.0136852264404296,83.55469321331245
ridge_l2,filter,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 10}",grid,1.9106590747833248,91,0.0209962535690475,0.0280930995941162,83.45235277991227
ridge_l2,wrapper,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 1}",grid,1.7659635543823242,91,0.0194061929053002,0.0286035537719726,83.37960870257116
ridge_l2,no_selection,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 10}",grid,10.773196697235107,91,0.1183867768926934,0.1813464164733886,83.86179717659111
lasso_l1,manual,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 0.1}",grid,3.995432615280152,91,0.0439058529151665,0.0164384841918945,83.40286406661048
lasso_l1,filter,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 0.1}",grid,4.819518566131592,91,0.0529617424849625,0.0214715003967285,83.30629026098315
lasso_l1,wrapper,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 0.1}",grid,3.9306271076202393,91,0.0431937044793432,0.0169079303741455,83.31664928110077
lasso_l1,no_selection,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 0.1}",grid,53.92193555831909,91,0.5925487423991109,1.0820424556732178,83.54799847993567
elastic_net,manual,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 0.001, 'regression__l1_ratio': 0.5}",grid,11.721351385116575,273,0.042935353059035,0.5812702178955078,83.51526405439998
elastic_net,filter,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 0.001, 'regression__l1_ratio': 0.5}",grid,14.64482307434082,273,0.0536440405653509,0.6614060401916504,83.41333496392983
elastic_net,wrapper,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 0.001, 'regression__l1_ratio': 0.5}",grid,12.51454734802246,273,0.045840832776639,0.4930276870727539,83.31637514887375
elastic_net,no_selection,"{'preprocessing__cat__oh__min_frequency': None, 'regression__alpha': 0.01, 'regression__l1_ratio': 0.75}",grid,167.6494746208191,273,0.6141006396366999,2.934457540512085,83.83496942582158
decision_tree,manual,"{'preprocessing__cat__oh__min_frequency': 0.002965985859578346, 'regression__criterion': 'friedman_mse', 'regression__max_depth': 9, 'regression__min_samples_leaf': 40, 'regression__min_samples_split': 33}",randomized,9.67495584487915,100,0.0967495584487915,0.0208790302276611,83.7780860558013
decision_tree,filter,"{'preprocessing__cat__oh__min_frequency': 0.002965985859578346, 'regression__criterion': 'friedman_mse', 'regression__max_depth': 9, 'regression__min_samples_leaf': 40, 'regression__min_samples_split': 33}",randomized,20.14728045463562,100,0.2014728045463562,0.0531642436981201,84.12740067171896
decision_tree,wrapper,"{'preprocessing__cat__oh__min_frequency': 0.002965985859578346, 'regression__criterion': 'friedman_mse', 'regression__max_depth': 9, 'regression__min_samples_leaf': 40, 'regression__min_samples_split': 33}",randomized,19.533833742141724,100,0.1953383374214172,0.0393133163452148,84.73891963892252
decision_tree,no_selection,"{'preprocessing__cat__oh__min_frequency': 0.004725347684840797, 'regression__criterion': 'friedman_mse', 'regression__max_depth': 7, 'regression__min_samples_leaf': 40, 'regression__min_samples_split': 2}",randomized,229.85245037078855,100,2.2985245037078856,0.3523120880126953,84.73284059274799
svm_linear,manual,"{'preprocessing__cat__oh__min_frequency': 0.005067687245650943, 'regression__C': 71.0411544538531, 'regression__epsilon': 0.26633253593242695, 'regression__tol': 0.041821644626507753}",randomized,1.4980344772338867,100,0.0149803447723388,0.0259366035461425,91.26781654784642
svm_linear,filter,"{'preprocessing__cat__oh__min_frequency': 0.005067687245650943, 'regression__C': 71.0411544538531, 'regression__epsilon': 0.26633253593242695, 'regression__tol': 0.041821644626507753}",randomized,1.861642599105835,100,0.0186164259910583,0.0272941589355468,91.05567296412444
svm_linear,wrapper,"{'preprocessing__cat__oh__min_frequency': 0.005067687245650943, 'regression__C': 71.0411544538531, 'regression__epsilon': 0.26633253593242695, 'regression__tol': 0.041821644626507753}",randomized,3.111152172088623,100,0.0311115217208862,0.0407259464263916,91.11874517574594
svm_linear,no_selection,"{'preprocessing__cat__oh__min_frequency': 0.008323221380271183, 'regression__C': 0.45855851094345235, 'regression__epsilon': 0.001077199316899006, 'regression__tol': 0.00013092485533875217}",randomized,97.80935859680176,100,0.9780935859680177,0.2651453018188476,91.22543953579348
svm_poly,manual,"{'preprocessing__cat__oh__min_frequency': 0.0018707496062876693, 'regression__C': 32.75143592003466, 'regression__degree': 4, 'regression__epsilon': 0.030225289960459558, 'regression__tol': 0.07982332010050937}",randomized,48.84676384925842,100,0.4884676384925842,2.4611942768096924,89.36720565282685
svm_poly,filter,"{'preprocessing__cat__oh__min_frequency': 0.009575646039461672, 'regression__C': 125.99675650593994, 'regression__degree': 3, 'regression__epsilon': 0.039615163101872804, 'regression__tol': 1.239282586857856e-07}",randomized,54.5289785861969,100,0.545289785861969,3.5780694484710693,91.46895941664454
svm_poly,wrapper,"{'preprocessing__cat__oh__min_frequency': 0.111760928803773, 'regression__C': 320.22110978080485, 'regression__degree': 2, 'regression__epsilon': 0.4492964526533543, 'regression__tol': 0.0010395606146803064}",randomized,56.0568106174469,100,0.560568106174469,2.032531976699829,103.23746378648907
svm_poly,no_selection,"{'preprocessing__cat__oh__min_frequency': 0.111760928803773, 'regression__C': 320.22110978080485, 'regression__degree': 2, 'regression__epsilon': 0.4492964526533543, 'regression__tol': 0.0010395606146803064}",randomized,644.3820505142212,100,6.443820505142212,5.810599088668823,101.4302023212575
svm_rbf,manual,"{'preprocessing__cat__oh__min_frequency': 0.005067687245650943, 'regression__C': 71.0411544538531, 'regression__epsilon': 0.26633253593242695, 'regression__tol': 0.041821644626507753}",randomized,63.00397539138794,100,0.6300397539138793,2.6649532318115234,88.48592337147325
svm_rbf,filter,"{'preprocessing__cat__oh__min_frequency': 0.005067687245650943, 'regression__C': 71.0411544538531, 'regression__epsilon': 0.26633253593242695, 'regression__tol': 0.041821644626507753}",randomized,67.57193088531494,100,0.6757193088531495,3.077049016952514,88.40458104489666
svm_rbf,wrapper,"{'preprocessing__cat__oh__min_frequency': 0.005067687245650943, 'regression__C': 71.0411544538531, 'regression__epsilon': 0.26633253593242695, 'regression__tol': 0.041821644626507753}",randomized,64.81695699691772,100,0.6481695699691773,2.79060959815979,90.88068235544974
svm_rbf,no_selection,"{'preprocessing__cat__oh__min_frequency': 0.005067687245650943, 'regression__C': 71.0411544538531, 'regression__epsilon': 0.26633253593242695, 'regression__tol': 0.041821644626507753}",randomized,681.3171155452728,100,6.8131711554527286,8.784799814224243,93.42802891084526
svm_sigmoid,manual,"{'preprocessing__cat__oh__min_frequency': 0.02969275048082812, 'regression__C': 1.4982252118587012, 'regression__epsilon': 0.3582545677649474, 'regression__tol': 0.0001225375937095268}",randomized,68.20164012908936,100,0.6820164012908936,2.5738353729248047,98.52864570703784
